No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
323,A PROCESS FOR PREPARING AN UNSATURATED ACID,"DOLOSHYTSKA HALYNA PAVLIVNA [UA] 
NIKITISHYN YEVHEN YURIIOVYCH [UA] 
PIKH ZORIAN HRYHOROVYCH [UA]",NAT UNIV LVIVSKA POLITEKHNIKA [UA],UA61709A,2003-04-01,"C07C57/045 
C07C57/055 
C07C57/045 
C07C57/055",,2003-11-17,2003-11-17,34392184
324,Asymmetric epoxidation using a chiral hydroperoxide,"KESLING JR HAVEN S [US] 
SHUM WILFRED P [US] 
ZAJACEK JOHN G [US]",ARCO CHEM TECH [US],US5166371A,1989-07-31,"C07D301/19 
C07D301/19 
C07D303/14 
C07D303/22 
C07F7/08","C07D301/19 (EP) 
C07D303/14 (EP) 
C07D303/22 (EP) 
C07F7/0801 (EP) 
C07F7/083 (EP)",1992-11-24,1992-11-24,27011542
325,Preparation method of glycidol ether base allyl alcohol polyoxyethylene ether,"CHENHUI ZHANG 
WEISONG WANG 
XIAOFENG GUO 
XINRONG WANG 
YIFENG JIN",ZHEJIANG HUANGMA TECHNOLOGY CO LTD,CN102060989A,2010-11-18,"C07D301/00 
C07D303/24 
C08G65/337",,2011-05-18,2011-05-18,43996506
326,Preparation method of glycidol heavy calcium carbonate ultra-fine powder,"LI JIE 
LIAO WENCHENG 
LIAO YUMING",GAN ZHENHUI,CN104387806A,2014-11-26,"C09C1/02 
C09C3/04 
C09C3/06 
C09C3/08 
C09C3/12",,2015-03-04,2015-03-04,52605772
327,PRODUCTION OF GLYCIDYLARYL SULFONATES,"MITA RYUICHI 
OKUMA TADASHI 
OZAWA SHUJI",MITSUI TOATSU CHEMICALS,JP3061494B2,1992-12-17,"C07D301/00 
C07D303/16 
C07D301/00 
C07D303/16",,1994-07-05,1994-07-05,18307439
328,METHOD OF REMOVING GLYCIDOL FROM RAW GLYCIDYL METACRYLATE,"BOJKOVA SVETLANA B [SU] 
FAJNBARK ALEKSANDR B [SU] 
GAEV VALERIJ L [SU] 
KOROTKOVA VIKTORIYA N [SU] 
KORSHUNOV MIKHAIL A [SU] 
MELEKHOV VALENTIN M [SU] 
MIKHLIN VALERIJ S [SU] 
STEPANOVA VALENTINA A [SU]","BOJKOVA SVETLANA B 
FAJNBARK ALEKSANDR B 
GAEV VALERIJ L 
KOROTKOVA VIKTORIYA N 
KORSHUNOV MIKHAIL A 
MELEKHOV VALENTIN M 
MIKHLIN VALERIJ S 
STEPANOVA VALENTINA A",SU1175931A1,1983-04-11,"C07C67/54 
C07C69/54 
C07C67/54 
C07C69/54",,1985-08-30,1985-08-30,21071451
329,"METHOD OF IMPROVING THE ADHESION PROPERTIES OF POLYAMIDE FIBERS AND PRODUCTS DERIVED THEREFROM, AND A METHOD OF PREPARING COMPOSITES","MERCX FRANCISCUS PETRUS MARIA [NL] 
VAN TURNHOUT JAN [NL]",TNO [NL],WO8910996A1,1988-05-13,"C08J5/06 
D06M13/02 
D06M13/54 
D06M13/192",D06M13/192 (EP),1989-11-16,1989-11-16,19852299
330,Catalyst used for synthesizing glycidol from glycerol and dimethyl carbonate by employing one-step method,"BAI RONGXIAN 
LI GUANGXING 
MEI FUMING 
WANG SHU",UNIV HUAZHONG SCIENCE TECH,CN103554060A,2013-09-13,"B01J23/02 
B01J23/04 
C07D301/02 
C07D303/14","B01J21/10 (CN) 
B01J23/02 (CN) 
B01J23/04 (CN) 
C07D301/02 (CN) 
C07D303/14 (CN) 
B01J2523/11 (CN) 
B01J2523/12 (CN) 
B01J2523/13 (CN) 
B01J2523/22 (CN) 
B01J2523/23 (CN) 
B01J2523/24 (CN)",2014-02-05,2014-02-05,50008463
331,Curing agent used for anti-corrosion paint of epoxy resin and preparation method thereof,"BANGYONG DING 
DAONING DING 
MING ZHOU 
YING MU 
ZIKAI WANG","CHINA NAT OFFSHORE OIL DEV CO LTD 
CHINA NAT OFFSHORE OIL CORP 
CNOOC CHANGZHOU PAINT & COATINGS IND RES INST 
CNOOC ENERGY TECHNOLOGY CO LTD",CN102161857A,2010-12-28,"C08G18/50 
C08G18/83 
C09D163/00 
C09D5/08 
C09D7/12 
C08G65/32 
C08G65/48",,2011-08-24,2011-08-24,44463324
332,Methylene chloride compsns - stabilised with 2-methylfuran and glycidol,,SOLVAY,BE791440R,1972-11-16,"C07C 
C07C17/42 
C09K3/30 
C23G5/028","C07C17/42 (EP) 
C09K3/30 (EP) 
C23G5/0288 (EP) 
C07C17/42, C07C19/03, INV (EP)      ",1973-05-16,1973-05-16,3841712
333,Process for the preparation of glycidol from allyl alcohol,"FAJDEK ANNA [PL] 
MILCHERT EUGENIUSZ [PL] 
WROBLEWSKA AGNIESZKA [PL]",ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL],PL213816B1,2009-07-24,"B01J21/06 
C07B41/04 
C07D301/12 
C07D303/14",,2013-05-31,2013-05-31,48522838
334,Process for producing polyglycerol fatty acid monoester,"BANGQING NI [CN] 
GUOHUA QIAO [CN] 
XUEMIN LIU [CN] 
BANGQING NI 
GUOHUA QIAO 
XUEMIN LIU","UNIV JIANGNAN [CN] 
UNIV JIANGNAN",CN101429119A,2008-12-10,"B01F17/44 
C07C67/26 
C08G65/28",,2009-05-13,2009-05-13,40644790
335,Rivaroxaban intermediate preparation method,"DING LIHUI 
DU CHENGMING 
LIU DINGMING 
WANG MINGLIN 
WU BIN 
XU ZAICHUN",CHANGZHOU NUOBEILANG BIOMEDICAL TECH CO LTD,CN105566310A,2014-10-15,C07D413/10,,2016-05-11,2016-05-11,55877001
336,STABILIZED TRICHLOROETHYLENE OR TETRACHLOROETHYLENE,"KATSURAGAWA S 
KOKETSU N",CENTRAL GLASS CO LTD,US3852367A,1970-12-23,"C07C17/40 
C07C17/42 
C07C17/00 
C07C17/42 
C07C21/10 
C07C67/00 
C11D7/50","C07C17/42 (EP) 
C07C17/42, C07C21/10, INV (EP)       
C07C17/42, C07C21/12, INV (EP)      ",1974-12-03,1972-07-13,14668763
337,Process for the production of pure carboxylic acid-1-monoglycerides,"KLEEMANN AXEL 
KOLB HEINZ 
RINDFUSS ANNE 
SCHREYER GERD 
SCHUSTER GREGOR 
SCHWORZER LUDWIG-KARL",DEGUSSA,US4025540A,1974-10-19,"C09F5/08 
C11C3/00 
C11C3/02 
C07C67/26 
C07C69/30 
C11C3/00 
C11C3/02","C07C67/26 (EP) 
C11C3/003 (EP) 
C11C3/025 (EP) 
C07C67/26, C07C69/30, INV (EP)      ",1977-05-24,1976-04-20,5928725
338,Process for the preparation of glycidol from allyl alcohol,"FAJDEK ANNA [PL] 
WROBLEWSKA AGNIESZKA [PL]",ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL],PL213849B1,2010-10-19,"C07C35/04 
C07D303/14 
C07D301/12",,2012-04-23,2012-04-23,46002796
339,THERMOSET RESIN FROM GLYCIDOL AND A CYCLIC ANHYDRIDE,HICKNER R,DOW CHEMICAL CO,US3733311A,1970-10-16,"C08G17/04 
C08G51/10 
C08G63/42 
C08G63/58","C08G63/42 (EP) 
C08G63/58 (EP)",1973-05-15,1973-05-15,22165185
340,Rosin acylamino amine epoxy hardeners for powder coatings and preparation method thereof,"GUANGYUAN ZHOU 
HAIWEI WANG 
HONGHUA WANG 
QIANG ZHANG",CHANGCHUN APPLIED CHEMISTRY,CN101709171A,2009-10-12,"C09D5/03 
C09D7/12 
C09F1/04",,2010-05-19,2010-05-19,42401977
341,"Carbon-film-coated cobalt catalyst of 1,3-propanediol prepared by hydrogenation of glycidol and preparation method thereof","CAI ZHONGSHUN 
HOU ZHAOYIN 
SUN YANYAN",UNIV ZHEJIANG,CN109821538A,2019-02-27,"B01J23/75 
C07C29/00 
C07C31/20",,2019-05-31,2019-05-31,66864726
342,NOVEL NON-ISOCYANATE SILOXANE-MODIFIED GLYCIDYL CARBAMATE RESINS AND COATINGS CONTAINING THEM,"PADE MADHURA [US] 
WEBSTER DEAN C [US]",NDSU RES FOUND [US],WO2017151621A1,2016-02-29,C08G77/38,"C08G77/08 (US) 
C08G77/388 (US) 
C08G77/455 (EP) 
C09D183/08 (US) 
C09D183/10 (EP) 
C09D5/1675 (US) 
C08G2150/00 (US) 
C08G77/70 (US)",2017-09-08,2017-09-08,59744359
343,"Water-dispersed, alkyd amino resin coating compsns. - contg. reactive surfactant prepd. by addn. of ethylene oxide and/or glycidol to long chain guanamine cpds.","ESCHWEY HELMUT DIPL CHEM DR 
GALINKE JOACHIM DIPL CHEM DR 
WIEMERS NORBERT DIPL CHEM DR",HENKEL KGAA,DE2710992A1,1977-03-14,"C08K5/34 
C09D3/52 
C09D3/66 
C08G63/48 
C08G65/26 
C09D161/20 
C09D167/08","C08G63/48 (EP) 
C08G65/263 (EP) 
C08K5/06 (EP) 
C08K5/16 (EP) 
C08L61/00 (EP) 
C08L67/08 (EP) 
C09D161/20 (EP) 
C09D167/08 (EP) 
C08L61/20, C08L67/08, C08L71/02, INV (EP)       
C08L67/08, C08L61/00, C08K5/16, C08K5/06, INV (EP)       
C09D161/20, C08L2666/14, INV (EP)       
C09D167/08, C08L2666/16, INV (EP)      ",1978-09-21,1978-09-21,6003558
344,COATING FORMULATIONS CONTAINING PHOSPHATE ESTERS OF GLYCIDOL POLYETHERS,MACKEY E,GAF CORP,US3725079A,1967-05-26,"G03C1/38 
C08G65/22 
C08G65/327 
G03C1/043 
G03C1/38","C08G65/22 (EP) 
C08G65/327 (EP) 
G03C1/043 (EP) 
G03C1/38 (EP)",1973-04-03,1973-04-03,26785322
345,"URETHANE EPOXY (METH)ACRYLATE MIXTURE, RESIN COMPOSITION AND COATING AGENT","DATE SHIGEO 
SASAHARA KAZUNORI 
YOKOSHIMA MINORU",NIPPON KAYAKU KK,JPS62292821A,1986-06-12,"C03C25/02 
C08F2/48 
C08F299/06 
C08G18/67 
G02B6/44 
C03C25/24 
C08F2/48 
C08F290/00 
C08F299/06 
C08G18/67 
G02B6/44",,1987-12-19,1987-12-19,15141153
346,"MANUFACTURING METHOD OF LUBRICANT FOR MAGNETIC DISK, AND MAGNETIC DISK, AND ITS MANUFACTURING METHOD",SHIMOKAWA KOICHI,HOYA CORP,JP2006059491A,2004-08-23,"G11B5/725 
C10M105/54 
C10M107/38 
G11B5/84 
C10N30/06 
C10N40/18",,2006-03-02,2006-03-02,36106823
347,"MODIFIED POLYOLEFIN RESIN COMPOSITION, AND HOT-MELT ADHESIVE FILM","IMAMURA YUICHI 
SHIMODA MITSUTAKA",KANEKA CORP,JP2016147938A,2015-02-10,"C08J5/18 
C08L23/26 
C09J123/26 
C09J7/00",,2016-08-18,2016-08-18,56691094
348,HIGHLY BRANCHED POLYESTER ETHER COPOLYMER AND CURABLE COMPOSITION CONTAINING SAME,IIZUKA TADAHISA,DAINIPPON INK & CHEMICALS,JPS61243823A,1985-04-23,"C08G12/02 
C08G18/48 
C08G59/40 
C08G63/06 
C08G63/10 
C08G12/02 
C08G18/00 
C08G18/42 
C08G18/48 
C08G59/00 
C08G59/40 
C08G63/00 
C08G63/06 
C08G63/08 
C08G63/82 
C08L63/00",,1986-10-30,1986-10-30,13898941
349,Branched polyglycerol-modified silicone,MIYANAGA SEIICHI [JP],KAO CORP [JP],US2005084467A1,2002-03-25,"A61K7/06 
A61K7/11 
A61K7/50 
C08G77/04 
A61K8/894 
A61K8/898 
A61Q19/10 
A61Q5/12 
C07F7/08 
C08G77/04","A61K8/894 (EP) 
A61Q19/00 (EP) 
A61Q1/02 (EP) 
A61Q1/06 (EP) 
A61Q15/00 (EP) 
A61Q19/08 (EP) 
A61Q19/10 (EP) 
A61Q5/00 (EP) 
A61Q5/02 (EP) 
A61Q5/06 (EP)",2005-04-21,2005-04-21,34528101
350,EPOXY RESIN COMPOSITION,ISHIMURA SHUICHI,ASAHI CHEMICAL IND,JP2716996B2,1989-03-13,"C08G59/14 
C08L63/00 
C09D163/00 
C08G59/40 
C08L61/04 
C08L61/20 
C08G59/00 
C08G59/14 
C08G59/40 
C08L61/04 
C08L61/20 
C08L63/00 
C09D163/00",,1990-09-20,1990-09-20,13141727
351,PRODUCTION OF HYDROXYALKYLATED POLYPHENYLENE ETHER,"ARITOMI MITSUTOSHI 
OMURA HARUO",MITSUBISHI PETROCHEMICAL CO,JPH03250025A,1990-02-28,"C08G65/48 
C08G65/48",,1991-11-07,1991-11-07,12725338
352,PREPARATION OF GLYCIDYL METHACRYLATE,"INOUE KIMIO 
KIMURA MAMORU 
KUBO MASAYOSHI",DAICEL LTD,JPS5594379A,1979-01-11,"C07D301/00 
C07D301/00",,1980-07-17,1980-07-17,11533471
353,PLASTICIZER FOR WATER-SOLUBLE RESIN,"KOBAYASHI TAKATOSHI 
OYA NAOHIRO",KAO CORP,JPS6198752A,1984-10-22,"C08K5/06 
C08K5/10 
C08K5/17 
C08K5/00 
C08K5/06 
C08K5/10 
C08K5/17",,1986-05-17,1986-05-17,16771926
354,PRODUCTION OF POLYGLYCEROL,"TAKEMOTO ETSUO 
UDA SHINZO",DAICEL CHEM,JPH0411532B2,1984-12-14,"B01J31/10 
C07C41/03 
C07C43/13 
C08G65/28 
B01J31/00 
B01J31/10 
C07B61/00 
C07C41/00 
C07C41/03 
C07C43/13 
C07C67/00 
C08G65/00 
C08G65/28",,1986-06-27,1986-06-27,17385652
355,PURIFICATION OF GLYCIDYL METHACRYLATE,"TAKEMOTO ETSUO 
YOKOTA SHIGERU",DAICEL CHEM,JP3247778B2,1993-11-26,"B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16 
B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16",,1995-06-06,1995-06-06,17841569
356,COATING COMPOSITION AND PIGMENT DISPERSANT,ENDO TOSHIRO,DAICEL CHEM,JPH107983A,1996-06-21,"C08G65/32 
C09D11/10 
C09D171/02 
C08G65/32 
C09D11/033 
C09D11/037 
C09D11/10 
C09D11/103 
C09D11/104 
C09D11/106 
C09D11/108 
C09D171/00 
C09D171/02",,1998-01-13,1998-01-13,16098778
357,"3-(pentachlorophenoxy) propane-1, 2-diol - by single-stage process from pentachlorophenol and glycidol",,,FR1604577A,1968-10-18,,,1971-12-06,1971-12-06,9695674
358,Preparing method for modified flame-retardant TGMDA (tetra-glycidyl diaminodiphenyl methane) composition,ZHANG JIE,SHANGHAI HUAYI RESINS CO LTD,CN105623192A,2015-12-28,"C07F9/6574 
C08G59/20 
C08G59/42 
C08G59/58 
C08L13/00 
C08L15/00 
C08L63/00 
C08L81/06","C07F9/657172 (CN) 
C08G59/20 (CN) 
C08G59/4223 (CN) 
C08G59/58 (CN) 
C08L63/00 (CN) 
C08L2201/02 (CN) 
C08L63/00, C08L13/00, INV (CN)       
C08L63/00, C08L15/00, INV (CN)       
C08L63/00, C08L81/06, INV (CN)      ",2016-06-01,2016-06-01,56038564
359,Process for producing methyl p-toluate,"ISOGAI NOBUO 
OKAWA TAKASHI 
TAKEDA TAKAKO",MITSUBISHI GAS CHEMICAL CO,US4010195A,1974-04-08,"C07C69/76 
C01B15/022 
C07C409/30 
C07C51/00 
C07C51/255","C01B15/022 (EP) 
C07C407/00 (EP) 
C07C45/80 (EP) 
C07C45/81 (EP) 
C07C51/00 (EP) 
C07C51/255 (EP) 
C07C67/08 (EP) 
C07C407/00, C07C409/30, INV (EP)       
C07C45/80, C07C47/542, INV (EP)       
C07C45/81, C07C47/542, INV (EP)       
C07C51/00, C07C63/04, INV (EP)       
C07C51/255, C07C63/04, INV (EP)       
C07C67/08, C07C69/76, INV (EP)      ",1977-03-01,1977-03-01,27522116
360,ELECTROLYTIC SOLUTION FOR DRIVING ELECTROLYTIC CAPACITOR,"HIRABAYASHI KENICHI 
MORI TATSUO",NICHICON CORP,JPH01115115A,1987-10-28,"H01G9/02 
H01G9/02 
H01G9/035",,1989-05-08,1989-05-08,17519534
361,Bipolymer of vinyl sulfonic acid-glycidol adduct and acrylamide,HUNTER WALTER D,TEXACO DEVELOPMENT CORP,US4297469A,1978-06-19,"C08F228/02 
C08F228/02 
C09K8/588 
C09K8/594 
E21B43/16","C08F228/02 (EP) 
C09K8/588 (EP) 
C09K8/594 (EP) 
E21B43/16 (EP) 
E21B43/164 (EP) 
Y10S507/922 (EP) 
Y10S507/936 (EP) 
C08F228/02, C08F220/56, INV (EP)      ",1981-10-27,1981-10-27,26835000
362,COMPATIBILIZED BLENDS OF CRYSTALLINE PROPYLENE POLYMERS AND STYRENIC COPOLYMERS,MALLIKARJUN RAMESH [US],ARCO CHEM TECH [US],CA2037859A1,1990-03-30,"C08L23/12 
C08L25/08 
C08L53/02 
C08J3/20 
C08L23/00 
C08L23/08 
C08L23/10 
C08L23/16 
C08L25/02 
C08L25/14 
C08L35/06 
C08L23/02","C08L23/10 (EP) 
C08L23/16 (EP) 
C08L35/06 (EP) 
C08L2205/04 (EP) 
C08L23/025 (EP) 
C08L23/08 (EP) 
C08L23/10, C08L2666/04, INV (EP)       
C08L23/16, C08L2666/04, INV (EP)       
C08L35/06, C08L2666/02, INV (EP)       
C08L35/06, C08L2666/04, INV (EP)      ",1991-10-01,1990-11-06,23994184
363,PRODUCTION OF GLYCIDYL METHACRYLATE OR GLYCIDYL ACRYLATE,"HONMA AKIHIRO 
ISOZAKI TAKESHI 
KUROKAWA MASAHIRO",MITSUBISHI GAS CHEMICAL CO,JP3801227B2,1995-03-03,"B01J27/16 
B01J31/02 
B01J31/04 
B01J31/12 
C07B61/00 
C07D303/16 
B01J27/16 
B01J31/02 
B01J31/04 
B01J31/12 
C07B61/00 
C07D303/16 
C07B61/00",,1996-09-17,1996-09-17,12684855
364,PRODUCTION OF GLYCEROL MONO-FATTY ACID ESTER,"ITABASHI MASAKI [ES] 
MONTANOLA MARTINEZ JOAN [ES] 
VIDAL BORONAT JOSEP [ES]",KAO CORP [JP],ES2019823A6,1989-04-18,"B01J27/232 
C07C69/30 
B01J27/232 
C07B61/00 
C07C69/30",,1991-07-01,1990-11-15,14219852
365,PREPARATION OF GLYCIDYL ESTER,"FUKUMURA KUNIMITSU 
IBI AKIRA 
KAWAMATA MOTOO 
OONO TATSUYA 
TAKASE KOUZOU 
YAMAUCHI ATSUROU",MITSUI TOATSU CHEMICALS,JPS55127380A,1979-03-23,"B01J27/08 
C07D301/00 
B01J27/00 
B01J27/08 
C07B61/00 
C07D301/00 
C07D405/12 
C07D407/12",,1980-10-02,1980-10-02,12381916
366,Substrate pretreatment method for preparing nano-diamond film,"HUANG JIAN 
REN BING 
TANG KE 
WANG LINJUN 
ZHAO SHENJIE",UNIV SHANGHAI,CN106893997A,2017-02-15,"C23C16/02 
C23C16/27 
C23C16/511","C23C16/0272 (CN) 
C23C16/274 (CN) 
C23C16/511 (CN)",2017-06-27,2017-06-27,59199003
367,Permanent topical antistats,"CORSON FRED P 
DEIBEL RONALD D 
LALK JAMES W 
SEXTON ARTHUR R 
STEVENS VIOLETE L",DOW CHEMICAL CO,US4080161A,1976-04-20,"C08G23/22 
D06Q1/02 
C08L71/02","C08K3/011 (EP) 
C08K5/09 (EP) 
C08K5/29 (EP) 
C08L61/28 (EP) 
C08L63/00 (EP) 
C08L71/02 (EP) 
Y10S524/911 (EP) 
C08L71/02, C08L61/28, C08L63/00, C08K3/011, C08K5/09, C08K5/29, INV (EP)      ",1978-03-21,1978-03-21,24723370
368,Sulfur-bearing photo-curing compound and preparation thereof,"JIANWEN YANG [CN] 
LIANG HUANG [CN] 
ZHAOHUA ZENG [CN] 
JIANWEN YANG 
LIANG HUANG 
ZHAOHUA ZENG","UNIV ZHONGSHAN [CN] 
UNIV SUN YAT SEN",CN101481360A,2009-02-20,C07D285/125,,2009-07-15,2009-07-15,40878671
369,Process for the manufacture of epoxy compounds containing hydroxyl groups,,BAYER AG,GB787922A,1954-06-25,,,1957-12-18,1957-12-18,6699356
370,SILOXANE FINISHING AGENT FOR SYNTHETIC FIBRE,"MASAKI TANAKA [JP] 
OHASHI HIROSHI [JP] 
OKATA FUMIO [JP]",SHINETSU CHEMICAL CO [JP],CN1036863C,1986-05-22,"D06M15/643 
C08K5/1515 
C08K5/5435 
D06M13/02 
D06M13/11 
D06M13/165 
D06M13/203 
D06M13/50 
D06M13/51 
D06M13/513 
D06M15/643 
D06M101/00 
D06M101/16","C08K5/1515 (EP) 
C08K5/5435 (EP) 
D06M13/11 (EP) 
D06M13/203 (EP) 
D06M13/513 (EP) 
Y10T428/31663 (EP,US) 
C08K5/1515, C08L83/08, INV (EP)       
C08K5/5435, C08L83/08, INV (EP)      ",1987-12-09,1987-11-30,14726688
371,PRODUCTION OF CELLULOSIC FIBER WHOSE INSIDE IS MADE HYDROPHILIC,"INAGAKI HIROSHI 
MIYAMOTO TAKEAKI 
YANAGIUCHI YUICHI",NISSHIN SPINNING,JP3104588B2,1995-09-21,"D06M101/06 
D06M13/11 
D06M13/21 
D06M13/02 
D06M13/11 
D06M13/165 
D06M13/184 
D06M13/207 
D06M13/21 
D06M101/00 
D06M101/02 
D06M101/06 
D06M101/08",,1996-04-16,1996-04-16,17426888
372,Improvements in or relating to the production of o-hydroxyphenyl glycerol ether,"BRADLEY WILLIAM 
FEITELSON BRUCE NORMAN 
LODGE ROSEMARY MURIEL",BRITISH DRUG HOUSES LTD,GB640403A,1948-01-13,,,1950-07-19,1950-07-19,9713920
373,HYDROLYTICALLY STABLE POLYCARBONATE COMPOSITION,,GEN ELECTRIC,GB1440276A,1973-01-05,"C08K5/04 
C08L69/00 
C08K5/00 
C08K5/1515 
C08L69/00","C08K5/1515 (EP) 
C08L69/00 (EP) 
C08K5/1515, C08L69/00, INV (EP)       
C08L69/00, C08L63/00, INV (EP)      ",1976-06-23,1974-07-09,23249897
374,METHOD FOR PURIFYING GLYCIDYL METHACRYLATE,"TAKEMOTO ETSUO 
YOKOTA SHIGERU",DAICEL CHEM,JP3250200B2,1993-11-26,"B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16 
B01J31/02 
C07B61/00 
C07D301/32 
C07D303/16",,1995-06-13,1995-06-13,17841582
375,PRODUCTION OF HIGH-PURITY POLYGLYCERIN FATTY ACID ESTER,ENDO TOSHIRO,DAICEL CHEM,JP3436450B2,1995-12-06,"C07B61/00 
C07C67/08 
C07C69/30 
C08G65/26 
C08G65/30 
C11C3/02 
C07B61/00 
C07C67/08 
C07C69/30 
C08G65/02 
C08G65/26 
C08G65/28 
C08G65/30 
C11C3/02",,1997-06-17,1997-06-17,18372423
376,PREPARATION OF POLYGLYCEROL,"AKIMOTO SHINICHI 
SUGINAKA AKINORI",NIPPON OILS & FATS CO LTD,JPH0155254B2,1982-05-14,"B01J31/04 
C07C41/03 
C07C43/13 
B01J31/00 
B01J31/04 
C07B61/00 
C07C41/00 
C07C41/02 
C07C41/03 
C07C43/13 
C07C67/00",,1983-11-18,1983-11-18,13739976
377,"Cationic cellulose derivatives, their preparation and use in cosmetic compositions","BUSCH PETER DR [DE] 
ENGELSKIRCHEN KONRAD DR [DE] 
GIEDE KARL [DE] 
HOEFFKES HORST DR [DE] 
KLEINER ERNA DR [DE] 
MAAK NORBERT DR [DE] 
THIELE KLAUS [DE]",HENKEL KGAA [DE],DE3301667A1,1983-01-20,"A61K7/09 
A61K7/11 
A61K7/13 
C08B15/06 
C11D9/38 
A61K7/08 
A61K7/48 
A61K7/50 
C11D3/22 
C08B11/193 
A61K8/73 
A61Q19/10 
A61Q5/00 
A61Q5/04 
A61Q5/06 
A61Q5/10 
C08B11/193 
C11D3/22","A61K8/731 (EP) 
A61Q19/008 (EP) 
A61Q5/12 (EP) 
C08B11/193 (EP) 
C11D3/227 (EP) 
A61K2800/5426 (EP) 
A61Q19/10 (EP) 
A61Q5/02 (EP)",1984-07-26,1984-07-26,6188651
378,Method for oxidizing allyl alcohol,"LIN MIN 
SHI CHUNFENG 
ZHU BIN","CHINA PETROLEUM & CHEMICAL 
SINOPEC RES INST PETROLEUM",CN103288779A,2012-02-29,"C07D301/03 
C07D303/14",,2013-09-11,2013-09-11,49090367
379,Ester-bond coupled nano diamond doxorubicin drug and preparation method and application thereof,"LI LIN 
LI YINGQI 
YANG BINSHENG",UNIV SHANXI,CN104906593A,2015-05-29,"A61K47/48 
A61K31/704 
A61P35/00 
C08G65/00 
A61K47/52 
A61K47/60",,2015-09-16,2015-09-16,54076299
380,PRODUCTION OF GLYCEROL ESTER OF MONO-UNSATURATED MONOMER,"FUJIKAWA HISAO 
TAKEMOTO ETSUO",DAICEL CHEM,JPH03120238A,1989-10-03,"C07C67/26 
C07C69/30 
C07C67/26 
C07C69/30",,1991-05-22,1991-05-22,17320699
381,NOVEL OLIGOSACCHARIDE DERIVATIVE AND FRACTIONAL DETERMINATION OF ALPHA-AMYLASE ISOZYME USING SAID DERIVATIVE AS SUBSTRATE,"IKENAKA TOKUJI 
OOMICHI KAORU",WAKO PURE CHEM IND LTD,JPH0452279B2,1983-11-04,"C07H15/20 
C07H17/02 
C07H17/06 
C12Q1/40 
C07H15/20 
C07H15/203 
C07H17/02 
C07H17/06 
C07H17/075 
C12Q1/40",,1985-06-04,1985-06-04,16550143
382,PROCESS FOR PREPARING CHIRAL GLYCIDYL DERIVATIVES BY USING PHOSPHATE WITH REDUCE COAST AND IMPROVED YIELD,"KIM HO CHEOL 
KIM SEONG JIN 
LEE HO SEONG 
YOON JIN WON",RSTECH CO LTD,KR100514819B1,2003-05-12,"C07D303/12 
C07D303/12","C01B13/02 (KR) 
F04B39/0027 (KR)",2004-11-18,2004-11-18,37375612
383,Paper-coating composition,"NOBU TANIKAWA [JP] 
TERU KAWAMURA [JP] 
YOSHINO NEGATANIKAWA [JP]",SUMITOMO CHEM IND [JP],CN1108413C,1997-08-26,"D21H19/62 
D21H19/46 
D21H19/62","D21H19/46 (EP) 
D21H19/62 (EP)",1999-03-03,1999-02-26,16889398
384,PROCESS FOR PRODUCING PER-P-TOLUIC ACID AND UTILIZING THE SAME,"ISOGAI NOBUO 
OKAWA TAKASHI 
TAKEDA TAKAKO",MITSUBISHI GAS CHEMICAL CO,CA1078857A,1974-04-08,"C07C179/10 
C07C63/04 
C07C69/76 
C01B15/022 
C07C409/30 
C07C51/00 
C07C51/255 
C07D301/14","C01B15/022 (EP) 
C07C407/00 (EP) 
C07C45/80 (EP) 
C07C45/81 (EP) 
C07C51/00 (EP) 
C07C51/255 (EP) 
C07C67/08 (EP) 
C07D301/14 (EP) 
C07C407/00, C07C409/30, INV (EP)       
C07C45/80, C07C47/542, INV (EP)       
C07C45/81, C07C47/542, INV (EP)       
C07C51/00, C07C63/04, INV (EP)       
C07C51/255, C07C63/04, INV (EP)       
C07C67/08, C07C69/76, INV (EP)      ",1980-06-03,1975-10-09,27290608
385,"Photo-curable coloring composition for color filter, color filter, method of producing color filter and liquid crystal display device","HIDEYUKI NAKAMURA 
SHINJI FUJIMOTO",FUJI FILM CORP,CN102314089A,2010-07-02,"G02B5/20 
G02F1/1335 
G03F7/00 
G03F7/032","G02B5/20 (KR) 
G02B5/201 (KR) 
G02F1/13 (KR) 
G02F1/1303 (KR) 
G03F7/0045 (KR) 
G03F7/0047 (KR)",2012-01-11,2012-01-10,45427365
386,PREPARATION OF GLYCIDYL METHACRYLATE,"INOUE KIMIO 
KIMURA MAMORU 
KUBO MASAYOSHI",DAICEL LTD,JPS5594378A,1979-01-10,"C07D301/00 
C07D301/00",,1980-07-17,1980-07-17,11513610
387,IODOPHOR SOLUTION,,DEGUSSA,GB1512148A,1975-06-21,"A61L13/00 
C08L71/00 
A61L 
A61K33/18 
A61K45/08 
A61K9/08 
A61L2/18 
A61P31/00 
C08L71/00 
C08L71/02 
C11D3/48 
C11D7/26",,1978-05-24,1976-12-20,5949618
